episode,step,action,reward,total_reward,active_incidents,new_incidents,resolved_incidents,resources
2,78,DEPLOY_TEAM,-1.75,-141.96867948280385,0,0,0,100.0
2,79,DEPLOY_TEAM,-1.75,-143.71867948280385,0,0,0,100.0
2,80,DEPLOY_TEAM,-1.75,-145.46867948280385,0,0,0,100.0
2,81,DEPLOY_TEAM,-1.75,-147.21867948280385,0,0,0,100.0
2,82,DEPLOY_TEAM,-1.75,-148.96867948280385,0,0,0,100.0
2,83,DEPLOY_TEAM,-1.75,-150.71867948280385,0,0,0,100.0
2,84,DEPLOY_TEAM,-1.75,-152.46867948280385,0,0,0,100.0
2,85,DEPLOY_TEAM,-1.75,-154.21867948280385,0,0,0,100.0
2,86,DEPLOY_TEAM,-1.75,-155.96867948280385,0,0,0,100.0
2,87,DEPLOY_TEAM,-1.75,-157.71867948280385,0,0,0,100.0
2,88,DEPLOY_TEAM,-1.75,-159.46867948280385,0,0,0,100.0
2,89,DEPLOY_TEAM,-1.75,-161.21867948280385,0,0,0,100.0
2,90,DEPLOY_TEAM,-1.75,-162.96867948280385,0,0,0,100.0
2,91,DEPLOY_TEAM,-1.75,-164.71867948280385,0,0,0,100.0
2,92,DEPLOY_TEAM,-1.75,-166.46867948280385,0,0,0,100.0
2,93,DEPLOY_TEAM,-1.75,-168.21867948280385,0,0,0,100.0
2,94,DEPLOY_TEAM,-1.75,-169.96867948280385,0,0,0,100.0
2,95,DEPLOY_TEAM,-1.75,-171.71867948280385,0,0,0,100.0
2,96,DEPLOY_TEAM,-1.75,-173.46867948280385,0,0,0,100.0
2,97,DEPLOY_TEAM,-1.75,-175.21867948280385,0,0,0,100.0
2,98,DEPLOY_TEAM,-1.75,-176.96867948280385,0,0,0,100.0
2,99,DEPLOY_TEAM,-1.75,-178.71867948280385,0,0,0,100.0
2,100,DEPLOY_TEAM,-1.75,-180.46867948280385,0,0,0,100.0
3,1,DEPLOY_TEAM,-1.75,-1.75,0,0,0,100.0
3,2,DEPLOY_TEAM,-1.75,-3.5,0,0,0,100.0
3,3,DEPLOY_TEAM,-1.75,-5.25,0,0,0,100.0
3,4,DEPLOY_TEAM,-1.75,-7.0,0,0,0,100.0
3,5,DEPLOY_TEAM,-1.75,-8.75,0,0,0,100.0
3,6,DEPLOY_TEAM,-1.75,-10.5,0,0,0,100.0
3,7,DEPLOY_TEAM,-1.75,-12.25,0,0,0,100.0
3,8,DEPLOY_TEAM,-1.75,-14.0,0,0,0,100.0
3,9,DEPLOY_TEAM,-1.75,-15.75,0,0,0,100.0
3,10,DEPLOY_TEAM,-1.75,-17.5,0,0,0,100.0
3,11,DEPLOY_TEAM,-1.75,-19.25,0,0,0,100.0
3,12,DEPLOY_TEAM,-1.75,-21.0,0,0,0,100.0
3,13,DEPLOY_TEAM,-1.75,-22.75,0,0,0,100.0
3,14,DEPLOY_TEAM,-1.75,-24.5,0,0,0,100.0
3,15,DEPLOY_TEAM,-1.75,-26.25,0,0,0,100.0
3,16,DEPLOY_TEAM,-1.75,-28.0,0,0,0,100.0
3,17,DEPLOY_TEAM,-1.75,-29.75,0,0,0,100.0
3,18,DEPLOY_TEAM,-1.75,-31.5,0,0,0,100.0
